binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9.1,0.75.1,0.5.1,0.25.1,0.1.1,0.9,0.75,0.5,0.25,0.1
20,True,0.375587958607714,1,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.4296409532768895,1,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.3304327375352775,1,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.6408748824082785,1,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.4813813107557227,1,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.4237963527260794,2,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.4849280390042663,2,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.3826824808963481,2,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.4574094041535793,2,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.7460503492569498,2,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.4405794383760724,2,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.2030518997857548,3,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.3721306457959861,3,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.2381618643697258,3,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.2288487604389838,3,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,False,0.5515281360675091,3,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.2631279786629356,3,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.3393955603102434,4,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.3257020593741643,4,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
